Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
84,Doctor Strange,677718395,232641920,445076475,2016.csv,2016.0,0.3432722524817996,0.6567277475182004
85,Justice League,661324295,229024295,432300000,2017.csv,2017.0,0.3463116306652548,0.6536883693347452
86,Big Hero 6,657827828,222527828,435300000,2014.csv,2014.0,0.33827670178769026,0.6617232982123098
87,Fantastic Beasts: The Crimes of Grindelwald,655755901,159555901,496200000,2018.csv,2018.0,0.2433159972433096,0.7566840027566905
88,The Hunger Games: Mockingjay - Part 2,653428261,281723902,371704359,2015.csv,2015.0,0.43114740946290353,0.5688525905370965
89,Moana,643331111,248757044,394574067,2016.csv,2016.0,0.38667031602642327,0.6133296839735767
90,Sing,634151679,270395425,363756254,2016.csv,2016.0,0.42638919670825315,0.5736108032917469
91,The Martian,630161890,228433663,401728227,2015.csv,2015.0,0.36249996488997455,0.6375000351100255
92,Water Gate Bridge,626571697,117294,626454403,2022.csv,2022.0,0.00018719964620425553,0.9998128003537957
93,Ant-Man and the Wasp,622674139,216648740,406025399,2018.csv,2018.0,0.3479327732285988,0.6520672267714012
94,How to Train Your Dragon 2,621537519,177002924,444534595,2014.csv,2014.0,0.2847823640393944,0.7152176359606056
95,Logan,619021436,226277068,392744368,2017.csv,2017.0,0.36553995522701094,0.6344600447729891
96,Transformers: The Last Knight,605425157,130168683,475256474,2017.csv,2017.0,0.21500375644284633,0.7849962435571537
97,Wonka,589871297,207171297,382700000,2023.csv,2023.0,0.3512144056739889,0.6487855943260111
98,Ready Player One,583490172,137690172,445800000,2018.csv,2018.0,0.2359768486383349,0.7640231513616651
99,Operation Red Sea,579330426,1543547,577786879,2018.csv,2018.0,0.0026643637736368433,0.9973356362263631
100,Fifty Shades of Grey,569651467,166167230,403484237,2015.csv,2015.0,0.2916998193212763,0.7083001806787237
101,The Little Mermaid,569626289,298172056,271454233,2023.csv,2023.0,0.5234520627962099,0.47654793720379013
102,Kong: Skull Island,568652812,168052812,400600000,2017.csv,2017.0,0.2955279714681161,0.7044720285318838
103,Mission: Impossible - Dead Reckoning Part One,567535383,172135383,395400000,2023.csv,2023.0,0.3033033501631034,0.6966966498368966
104,The Mermaid,553810228,3232685,550577543,2016.csv,2016.0,0.005837170995693492,0.9941628290043065
105,American Sniper,547626372,350126372,197500000,2014.csv,2014.0,0.639352649729586,0.36064735027041395
106,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018.0,0.0036457885301083076,0.9963542114698917
107,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016.0,0.285774485495812,0.7142255145041879
108,Cinderella,542351353,201151353,341200000,2015.csv,2015.0,0.3708875286976559,0.6291124713023442
109,The Revenant,532950503,183637894,349312609,2015.csv,2015.0,0.34456838480552104,0.6554316151944789
110,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018.0,0.3799029052835511,0.6200970947164489
111,The Meg,529243742,145443742,383800000,2018.csv,2018.0,0.2748142877426787,0.7251857122573213
112,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018.0,0.31690343941583043,0.6830965605841696
113,The Boss Baby,527965936,175003033,352962903,2017.csv,2017.0,0.331466522870521,0.6685334771294791
114,Dunkirk,526045546,188045546,338000000,2017.csv,2017.0,0.35747008491922483,0.6425299150807752
115,Godzilla,524976069,200676069,324300000,2014.csv,2014.0,0.38225755582013016,0.6177424441798699
116,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019.0,0.3081633912243746,0.6918366087756255
117,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016.0,0.2753964959569638,0.7246035040430362
118,Ant-Man,519311965,180202163,339109802,2015.csv,2015.0,0.3470017545234106,0.6529982454765894
119,The Grinch,512453517,271478510,240975007,2018.csv,2018.0,0.5297622145112529,0.47023778548874706
120,Venom: Let There Be Carnage,506863592,213550366,293313226,2021.csv,2021.0,0.42131723282267236,0.5786827671773277
121,Rio 2,498781117,131538435,367242682,2014.csv,2014.0,0.2637197570572825,0.7362802429427175
122,Elemental,496444308,154426697,342017611,2023.csv,2023.0,0.3110655002212252,0.6889344997787747
123,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019.0,0.23169134358178353,0.7683086564182164
124,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017.0,0.2993157665019495,0.7006842334980505
125,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014.0,0.39423274189184543,0.6057672581081546
126,Puss in Boots: The Last Wish,481696020,186090535,295605485,2022.csv,2022.0,0.38632358847390935,0.6136764115260906
127,Ant-Man and the Wasp: Quantumania,476071180,214504909,261566271,2023.csv,2023.0,0.45057318739605284,0.5494268126039472
128,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015.0,0.3574138795282224,0.6425861204717775
129,San Andreas,474590832,155190832,319400000,2015.csv,2015.0,0.3269992202462099,0.6730007797537901
130,It Chapter Two,473093228,211593228,261500000,2019.csv,2019.0,0.44725482310222375,0.5527451768977762
131,Godzilla vs. Kong,470116094,100916094,369200000,2021.csv,2021.0,0.21466207025875614,0.7853379297412438
132,The Lego Movie,468060692,257760692,210300000,2014.csv,2014.0,0.5506992926464331,0.44930070735356686
133,Bumblebee,467989645,127195589,340794056,2018.csv,2018.0,0.2717914602576303,0.7282085397423698
134,The Eight Hundred,461421559,372755,461048804,2020.csv,2020.0,0.0008078404502985089,0.9991921595497015
135,Moon Man,460237662,0,460237662,2022.csv,2022.0,0.0,1.0
136,Lucy,458863600,126663600,332200000,2014.csv,2014.0,0.27603758502526676,0.7239624149747332
137,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,453211036,49505008,403706028,2020.csv,2020.0,0.10923169134831041,0.8907683086516895
138,Dying to Survive,451176639,0,451176639,2018.csv,2018.0,0.0,1.0
139,"My People, My Country",450064993,2356683,447708310,2019.csv,2019.0,0.005236317057878794,0.9947636829421213
140,La La Land,447407695,151101803,296305892,2016.csv,2016.0,0.3377273227274287,0.6622726772725712
141,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015.0,0.20372273134974855,0.7962772686502514
142,John Wick: Chapter 4,440157245,187131806,253025439,2023.csv,2023.0,0.42514762195951133,0.5748523780404887
143,Warcraft,439048914,47365290,391683624,2016.csv,2016.0,0.10788157877097038,0.8921184212290296
144,Transformers: Rise of the Beasts,438966392,157066392,281900000,2023.csv,2023.0,0.3578096065267794,0.6421903934732206
145,A Star Is Born,436388866,215288866,221100000,2018.csv,2018.0,0.4933417939219375,0.5066582060780624
146,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017.0,0.4007882900546513,0.5992117099453488
147,Pokémon: Detective Pikachu,433305346,144105346,289200000,2019.csv,2019.0,0.332572278025852,0.667427721974148
148,Shang-Chi and the Legend of the Ten Rings,432243292,224543292,207700000,2021.csv,2021.0,0.5194835782437082,0.48051642175629183
149,The Secret Life of Pets 2,431164459,158980250,272184209,2019.csv,2019.0,0.3687229934691811,0.6312770065308189
150,Aquaman and the Lost Kingdom,430200802,122900802,307300000,2023.csv,2023.0,0.2856824102340934,0.7143175897659065
151,Rampage,428128233,101028233,327100000,2018.csv,2018.0,0.2359765724677167,0.7640234275322833
152,Bad Boys for Life,426505244,206305244,220200000,2020.csv,2020.0,0.4837109200936343,0.5162890799063657
153,"My People, My Homeland",422390820,0,422390820,2020.csv,2020.0,0.0,1.0
154,The Captain,417282021,706572,416575449,2019.csv,2019.0,0.0016932720904359309,0.9983067279095641
155,Jason Bourne,415484914,162434410,253050504,2016.csv,2016.0,0.39095140287091146,0.6090485971290885
156,Kingsman: The Secret Service,414351546,128261724,286089822,2015.csv,2015.0,0.3095480763573644,0.6904519236426355
157,Kingsman: The Golden Circle,410902662,100234838,310667824,2017.csv,2017.0,0.24393815681826855,0.7560618431817314
